SHOES,PRICES,LINKS
Jordan 4 Retro SE Paris Olympics Wet Cement,$233,"https://images.stockx.com/images/Air-Jordan-4-Retro-SE-Paris-Product.jpg?fit=fill&bg=FFFFFF&w=140&h=75&auto=compress&dpr=1&trim=color&updated_at=1719604258&fm=avif&q=57 1x,
https://images.stockx.com/images/Air-Jordan-4-Retro-SE-Paris-Product.jpg?fit=fill&bg=FFFFFF&w=140&h=75&auto=compress&dpr=2&trim=color&updated_at=1719604258&fm=avif&q=60 2x,
https://images.stockx.com/images/Air-Jordan-4-Retro-SE-Paris-Product.jpg?fit=fill&bg=FFFFFF&w=140&h=75&auto=compress&dpr=3&trim=color&updated_at=1719604258&fm=avif&q=41 3x"
Jordan 4 RM SP Nigel Sylvester Driveway Grey,$179,"https://images.stockx.com/images/Air-Jordan-4-RM-SP-Nigel-Sylvester-Iron-Grey-Updated.jpg?fit=fill&bg=FFFFFF&w=140&h=75&auto=compress&dpr=1&trim=color&updated_at=1722535867&fm=avif&q=57 1x,
https://images.stockx.com/images/Air-Jordan-4-RM-SP-Nigel-Sylvester-Iron-Grey-Updated.jpg?fit=fill&bg=FFFFFF&w=140&h=75&auto=compress&dpr=2&trim=color&updated_at=1722535867&fm=avif&q=60 2x,
https://images.stockx.com/images/Air-Jordan-4-RM-SP-Nigel-Sylvester-Iron-Grey-Updated.jpg?fit=fill&bg=FFFFFF&w=140&h=75&auto=compress&dpr=3&trim=color&updated_at=1722535867&fm=avif&q=41 3x"
Nike Kobe 4 Protro Gold Medal (2024),$208,"https://images.stockx.com/images/Nike-Kobe-4-Protro-Gold-Medal-2024-Product.jpg?fit=fill&bg=FFFFFF&w=140&h=75&auto=compress&dpr=1&trim=color&updated_at=1722970750&fm=avif&q=57 1x,
https://images.stockx.com/images/Nike-Kobe-4-Protro-Gold-Medal-2024-Product.jpg?fit=fill&bg=FFFFFF&w=140&h=75&auto=compress&dpr=2&trim=color&updated_at=1722970750&fm=avif&q=60 2x,
https://images.stockx.com/images/Nike-Kobe-4-Protro-Gold-Medal-2024-Product.jpg?fit=fill&bg=FFFFFF&w=140&h=75&auto=compress&dpr=3&trim=color&updated_at=1722970750&fm=avif&q=41 3x"
Nike SB Dunk Low There Skateboards,$147,"https://images.stockx.com/images/Nike-SB-Dunk-Low-There-Skateboards-Product.jpg?fit=fill&bg=FFFFFF&w=140&h=75&auto=compress&dpr=1&trim=color&updated_at=1722353486&fm=avif&q=57 1x,
https://images.stockx.com/images/Nike-SB-Dunk-Low-There-Skateboards-Product.jpg?fit=fill&bg=FFFFFF&w=140&h=75&auto=compress&dpr=2&trim=color&updated_at=1722353486&fm=avif&q=60 2x,
https://images.stockx.com/images/Nike-SB-Dunk-Low-There-Skateboards-Product.jpg?fit=fill&bg=FFFFFF&w=140&h=75&auto=compress&dpr=3&trim=color&updated_at=1722353486&fm=avif&q=41 3x"
Nike SB Dunk Low Electric Pack Olympic Safari,$124,"https://images.stockx.com/images/Nike-SB-Dunk-Low-Olympics-Safari-Product.jpg?fit=fill&bg=FFFFFF&w=140&h=75&auto=compress&dpr=1&trim=color&updated_at=1721307477&fm=avif&q=57 1x,
https://images.stockx.com/images/Nike-SB-Dunk-Low-Olympics-Safari-Product.jpg?fit=fill&bg=FFFFFF&w=140&h=75&auto=compress&dpr=2&trim=color&updated_at=1721307477&fm=avif&q=60 2x,
https://images.stockx.com/images/Nike-SB-Dunk-Low-Olympics-Safari-Product.jpg?fit=fill&bg=FFFFFF&w=140&h=75&auto=compress&dpr=3&trim=color&updated_at=1721307477&fm=avif&q=41 3x"
Denim Tears Cotton Wreath Hoodie Black Monochrome,$212,"https://images.stockx.com/images/Denim-Tears-Cotton-Wreath-Hoodie-Black-Monochrome-v2.jpg?fit=fill&bg=FFFFFF&w=140&h=75&auto=compress&dpr=1&trim=color&updated_at=1713190551&fm=avif&q=57 1x,
https://images.stockx.com/images/Denim-Tears-Cotton-Wreath-Hoodie-Black-Monochrome-v2.jpg?fit=fill&bg=FFFFFF&w=140&h=75&auto=compress&dpr=2&trim=color&updated_at=1713190551&fm=avif&q=60 2x,
https://images.stockx.com/images/Denim-Tears-Cotton-Wreath-Hoodie-Black-Monochrome-v2.jpg?fit=fill&bg=FFFFFF&w=140&h=75&auto=compress&dpr=3&trim=color&updated_at=1713190551&fm=avif&q=41 3x"
Nike KD 4 NERF (2024),$132,"https://images.stockx.com/images/Nike-KD-4-NERF-2024-Product.jpg?fit=fill&bg=FFFFFF&w=140&h=75&auto=compress&dpr=1&trim=color&updated_at=1720004576&fm=avif&q=57 1x,
https://images.stockx.com/images/Nike-KD-4-NERF-2024-Product.jpg?fit=fill&bg=FFFFFF&w=140&h=75&auto=compress&dpr=2&trim=color&updated_at=1720004576&fm=avif&q=60 2x,
https://images.stockx.com/images/Nike-KD-4-NERF-2024-Product.jpg?fit=fill&bg=FFFFFF&w=140&h=75&auto=compress&dpr=3&trim=color&updated_at=1720004576&fm=avif&q=41 3x"
Travis Scott Free The Rage II Tee Black,$70,"https://images.stockx.com/images/Travis-Scott-Free-The-Rage-II-Tee-Black.jpg?fit=fill&bg=FFFFFF&w=140&h=75&auto=compress&dpr=1&trim=color&updated_at=1718970626&fm=avif&q=57 1x,
https://images.stockx.com/images/Travis-Scott-Free-The-Rage-II-Tee-Black.jpg?fit=fill&bg=FFFFFF&w=140&h=75&auto=compress&dpr=2&trim=color&updated_at=1718970626&fm=avif&q=60 2x,
https://images.stockx.com/images/Travis-Scott-Free-The-Rage-II-Tee-Black.jpg?fit=fill&bg=FFFFFF&w=140&h=75&auto=compress&dpr=3&trim=color&updated_at=1718970626&fm=avif&q=41 3x"
Nike Kobe Mamba Mentality Los Angeles Lakers City Edition Swingman Jersey (FW23) Black,$119,"https://images.stockx.com/images/Nike-Kobe-Mamba-Mentality-Los-Angeles-Lakers-City-Edition-Swingman-Jersey-Black-v2.jpg?fit=fill&bg=FFFFFF&w=140&h=75&auto=compress&dpr=1&trim=color&updated_at=1704211985&fm=avif&q=57 1x,
https://images.stockx.com/images/Nike-Kobe-Mamba-Mentality-Los-Angeles-Lakers-City-Edition-Swingman-Jersey-Black-v2.jpg?fit=fill&bg=FFFFFF&w=140&h=75&auto=compress&dpr=2&trim=color&updated_at=1704211985&fm=avif&q=60 2x,
https://images.stockx.com/images/Nike-Kobe-Mamba-Mentality-Los-Angeles-Lakers-City-Edition-Swingman-Jersey-Black-v2.jpg?fit=fill&bg=FFFFFF&w=140&h=75&auto=compress&dpr=3&trim=color&updated_at=1704211985&fm=avif&q=41 3x"
Swatch x Omega Bioceramic Moonswatch Mission To Moonphase Snoopy,$349,"https://images.stockx.com/images/Swatch-x-Omega-Bioceramic-Moonswatch-Mission-To-Moonphase-Snoopy-Black-Product.jpg?fit=fill&bg=FFFFFF&w=140&h=75&auto=compress&dpr=1&trim=color&updated_at=1713282621&fm=avif&q=57 1x,
https://images.stockx.com/images/Swatch-x-Omega-Bioceramic-Moonswatch-Mission-To-Moonphase-Snoopy-Black-Product.jpg?fit=fill&bg=FFFFFF&w=140&h=75&auto=compress&dpr=2&trim=color&updated_at=1713282621&fm=avif&q=60 2x,
https://images.stockx.com/images/Swatch-x-Omega-Bioceramic-Moonswatch-Mission-To-Moonphase-Snoopy-Black-Product.jpg?fit=fill&bg=FFFFFF&w=140&h=75&auto=compress&dpr=3&trim=color&updated_at=1713282621&fm=avif&q=41 3x"
